,area,perimeter,compactness,kernel_length,kernel_width,asymmetry,groove_length,wheat_type
20,14.16,14.4,0.8584,5.6579999999999995,3.1289999999999996,3.072,5.176,1
68,14.37,14.39,0.8726,5.569,3.153,1.464,5.3,1
113,19.14,16.61,0.8722,6.2589999999999995,3.737,6.682,6.053,2
103,19.18,16.63,0.8717,6.369,3.681,3.3569999999999998,6.229,2
15,14.59,14.28,0.8993,5.351,3.333,4.185,4.781000000000001,1
52,14.49,14.61,0.8538,5.715,3.113,4.1160000000000005,5.396,1
41,13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1
151,12.01,13.52,0.8249,5.405,2.7760000000000002,6.992000000000001,5.27,3
140,13.07,13.92,0.848,5.472,2.9939999999999998,5.303999999999999,5.395,3
116,18.96,16.2,0.9077,6.051,3.897,4.334,5.75,2
53,14.33,14.28,0.8831,5.504,3.199,3.3280000000000003,5.224,1
11,14.03,14.16,0.8796,5.438,3.201,1.7169999999999999,5.001,1
189,10.59,12.41,0.8648,4.899,2.787,4.975,4.794,3
36,16.2,15.27,0.8734,5.8260000000000005,3.464,2.823,5.527,1
133,16.16,15.33,0.8644,5.845,3.395,4.266,5.795,2
21,14.11,14.26,0.8722,5.52,3.168,2.688,5.218999999999999,1
202,11.18,12.72,0.868,5.0089999999999995,2.81,4.051,4.828,3
64,12.78,13.57,0.8716,5.2620000000000005,3.0260000000000002,1.176,4.782,1
135,15.38,14.66,0.899,5.477,3.465,3.6,5.439,2
180,11.41,12.95,0.856,5.09,2.775,4.957,4.825,3
123,18.43,15.97,0.9077,5.98,3.7710000000000004,2.984,5.905,2
208,11.84,13.21,0.8521,5.175,2.8360000000000003,3.5980000000000003,5.044,3
162,12.05,13.41,0.8416,5.267,2.847,4.988,5.046,3
19,12.72,13.57,0.8686,5.226,3.049,4.102,4.914,1
63,13.22,13.84,0.868,5.395,3.07,4.157,5.088,1
1,14.88,14.57,0.8811,5.553999999999999,3.333,1.018,4.956,1
81,18.72,16.19,0.8977,6.006,3.8569999999999998,5.324,5.879,2
94,18.36,16.52,0.8452,6.666,3.485,4.933,6.4479999999999995,2
109,18.55,16.22,0.8865,6.153,3.674,1.7380000000000002,5.894,2
198,12.62,13.67,0.8481,5.41,2.911,3.306,5.231,3
44,15.11,14.54,0.8986,5.579,3.4619999999999997,3.128,5.18,1
166,12.44,13.59,0.8462,5.319,2.897,4.9239999999999995,5.27,3
51,15.78,14.91,0.8923,5.6739999999999995,3.4339999999999997,5.593,5.136,1
102,19.46,16.5,0.8985,6.1129999999999995,3.892,4.308,6.0089999999999995,2
82,20.2,16.89,0.8894,6.285,3.864,5.172999999999999,6.187,2
31,15.49,14.94,0.8724,5.757000000000001,3.3710000000000004,3.412,5.228,1
45,13.8,14.04,0.8794,5.376,3.155,1.56,4.961,1
60,11.42,12.86,0.8683,5.008,2.85,2.7,4.607,1
9,16.44,15.25,0.888,5.8839999999999995,3.505,1.969,5.5329999999999995,1
157,12.13,13.73,0.8081,5.394,2.745,4.825,5.22,3
122,16.17,15.38,0.8588,5.7620000000000005,3.387,4.2860000000000005,5.702999999999999,2
168,11.35,13.12,0.8291,5.176,2.668,4.337,5.132000000000001,3
4,16.14,14.99,0.9034,5.6579999999999995,3.562,1.355,5.175,1
145,11.21,13.13,0.8167,5.279,2.687,6.169,5.275,3
23,12.08,13.23,0.8664,5.099,2.9360000000000004,1.415,4.961,1
149,10.79,12.93,0.8107,5.317,2.648,5.462000000000001,5.194,3
71,16.84,15.67,0.8623,5.997999999999999,3.484,4.675,5.877000000000001,2
201,12.67,13.32,0.8977,4.984,3.135,2.3,4.745,3
0,15.26,14.84,0.871,5.763,3.312,2.221,5.22,1
26,13.02,13.76,0.8641,5.395,3.0260000000000002,3.373,4.825,1
153,11.18,13.04,0.8266,5.22,2.693,3.332,5.001,3
104,18.95,16.42,0.8829,6.247999999999999,3.755,3.3680000000000003,6.148,2
204,12.37,13.47,0.8567,5.204,2.96,3.9189999999999996,5.001,3
85,18.27,16.09,0.887,6.172999999999999,3.6510000000000002,2.443,6.197,2
47,14.99,14.56,0.8883,5.57,3.377,2.958,5.175,1
130,18.3,15.89,0.9108,5.979,3.755,2.8369999999999997,5.962000000000001,2
124,15.99,14.89,0.9064,5.3629999999999995,3.582,3.3360000000000003,5.144,2
43,15.5,14.86,0.882,5.877000000000001,3.3960000000000004,4.711,5.528,1
78,18.94,16.49,0.875,6.445,3.639,5.064,6.362,2
200,12.38,13.44,0.8609,5.218999999999999,2.989,5.472,5.045,3
97,18.98,16.57,0.8687,6.449,3.552,2.144,6.452999999999999,2
37,17.08,15.38,0.9079,5.832000000000001,3.6830000000000003,2.9560000000000004,5.484,1
115,19.06,16.45,0.8854,6.416,3.719,2.248,6.162999999999999,2
144,11.82,13.4,0.8274,5.314,2.7769999999999997,4.471,5.178,3
137,15.57,15.15,0.8527,5.92,3.2310000000000003,2.64,5.879,2
61,11.23,12.63,0.884,4.902,2.8789999999999996,2.269,4.703,1
118,18.89,16.23,0.9008,6.227,3.7689999999999997,3.639,5.966,2
147,12.49,13.46,0.8658,5.267,2.967,4.421,5.002,3
99,18.72,16.34,0.8809999999999999,6.218999999999999,3.6839999999999997,2.188,6.097,2
195,12.8,13.47,0.8859999999999999,5.16,3.1260000000000003,4.873,4.914,3
65,12.88,13.5,0.8879,5.138999999999999,3.1189999999999998,2.352,4.607,1
111,19.38,16.72,0.8716,6.303,3.7910000000000004,3.678,5.965,2
6,14.69,14.49,0.8799,5.563,3.259,3.5860000000000003,5.218999999999999,1
62,12.36,13.19,0.8923,5.0760000000000005,3.042,3.22,4.605,1
209,12.3,13.34,0.8684,5.242999999999999,2.9739999999999998,5.6370000000000005,5.063,3
194,12.11,13.27,0.8639,5.236000000000001,2.975,4.132,5.012,3
192,11.87,13.02,0.8795,5.132000000000001,2.9530000000000003,3.597,5.132000000000001,3
188,11.23,12.82,0.8594,5.0889999999999995,2.821,7.524,4.957,3
169,11.24,13.0,0.8359,5.09,2.715,3.5210000000000004,5.088,3
119,20.03,16.9,0.8811,6.492999999999999,3.8569999999999998,3.063,6.32,2
127,17.98,15.85,0.8993,5.979,3.687,2.2569999999999997,5.919,2
8,16.63,15.46,0.8747,6.053,3.465,2.04,5.877000000000001,1
12,13.89,14.02,0.888,5.439,3.199,3.986,4.738,1
42,13.16,13.55,0.9009,5.138,3.201,2.461,4.783,1
93,18.59,16.05,0.9066,6.037000000000001,3.86,6.001,5.877000000000001,2
5,14.38,14.21,0.8951,5.386,3.312,2.4619999999999997,4.956,1
173,11.4,13.08,0.8375,5.136,2.763,5.587999999999999,5.0889999999999995,3
107,17.63,15.86,0.88,6.0329999999999995,3.573,3.747,5.928999999999999,2
90,20.1,16.99,0.8746,6.581,3.785,1.955,6.449,2
77,20.71,17.23,0.8763,6.579,3.8139999999999996,4.4510000000000005,6.4510000000000005,2
75,16.77,15.62,0.8638,5.9270000000000005,3.438,4.92,5.795,2
181,12.46,13.41,0.8706,5.236000000000001,3.017,4.987,5.147,3
48,14.79,14.52,0.8819,5.545,3.2910000000000004,2.7039999999999997,5.111000000000001,1
146,11.43,13.13,0.8335,5.176,2.719,2.221,5.132000000000001,3
32,14.09,14.41,0.8529,5.7170000000000005,3.1860000000000004,3.92,5.2989999999999995,1
185,11.56,13.31,0.8198,5.3629999999999995,2.6830000000000003,4.062,5.182,3
98,18.17,16.26,0.8637,6.271,3.512,2.853,6.273,2
28,14.11,14.18,0.882,5.541,3.221,2.7539999999999996,5.038,1
176,11.26,13.01,0.8355,5.186,2.71,5.335,5.092,3
49,14.86,14.67,0.8676,5.678,3.258,2.129,5.351,1
80,16.53,15.34,0.8823,5.875,3.467,5.532,5.88,2
170,11.02,13.0,0.8189,5.325,2.701,6.735,5.162999999999999,3
129,17.55,15.66,0.8991,5.791,3.69,5.3660000000000005,5.6610000000000005,2
150,11.83,13.23,0.8496,5.263,2.84,5.195,5.307,3
92,18.81,16.29,0.8906,6.272,3.693,3.237,6.053,2
40,13.54,13.85,0.8871,5.348,3.156,2.5869999999999997,5.178,1
13,13.78,14.06,0.8759,5.479,3.156,3.136,4.872,1
175,10.8,12.57,0.8590000000000001,4.981,2.821,4.773,5.063,3
18,14.7,14.21,0.9153,5.205,3.466,1.767,4.649,1
126,18.65,16.41,0.8698,6.285,3.594,4.391,6.102,2
106,18.85,16.17,0.9056,6.152,3.806,2.843,6.2,2
167,12.15,13.45,0.8443,5.417000000000001,2.8369999999999997,3.638,5.337999999999999,3
69,12.73,13.75,0.8458,5.412000000000001,2.8819999999999997,3.533,5.067,1
171,11.55,13.1,0.8455,5.167000000000001,2.845,6.715,4.956,3
159,11.49,13.22,0.8263,5.303999999999999,2.695,5.388,5.31,3
79,17.12,15.55,0.8892,5.85,3.5660000000000003,2.858,5.746,2
184,12.89,13.77,0.8541,5.495,3.0260000000000002,6.185,5.316,3
108,19.94,16.92,0.8752,6.675,3.763,3.252,6.55,2
136,17.36,15.76,0.8785,6.145,3.574,3.5260000000000002,5.971,2
163,12.55,13.57,0.8558,5.332999999999999,2.968,4.419,5.176,3
199,12.76,13.38,0.8964,5.073,3.155,2.8280000000000003,4.83,3
191,11.27,12.86,0.8563,5.091,2.804,3.985,5.001,3
197,13.37,13.78,0.8849,5.32,3.128,4.67,5.091,3
88,21.18,17.21,0.8989,6.5729999999999995,4.033,5.78,6.231,2
89,20.88,17.05,0.9031,6.45,4.032,5.016,6.321000000000001,2
138,15.6,15.11,0.858,5.832000000000001,3.286,2.725,5.752000000000001,2
35,16.12,15.0,0.9,5.709,3.485,2.27,5.443,1
139,16.23,15.18,0.885,5.872000000000001,3.472,3.7689999999999997,5.922000000000001,2
83,19.57,16.74,0.8779,6.3839999999999995,3.772,1.472,6.273,2
7,14.11,14.1,0.8911,5.42,3.302,2.7,5.0,1
24,15.01,14.76,0.8657,5.789,3.245,1.791,5.001,1
177,10.74,12.73,0.8329,5.145,2.642,4.702,4.963,3
105,18.83,16.29,0.8917,6.037000000000001,3.786,2.553,5.879,2
57,14.92,14.43,0.9006,5.3839999999999995,3.412,1.1420000000000001,5.088,1
3,13.84,13.94,0.8955,5.324,3.3789999999999996,2.259,4.805,1
155,11.19,13.05,0.8253,5.25,2.675,5.813,5.218999999999999,3
56,14.46,14.35,0.8818,5.388,3.377,2.802,5.044,1
70,17.63,15.98,0.8673,6.191,3.5610000000000004,4.0760000000000005,6.06,2
67,14.01,14.29,0.8625,5.609,3.158,2.217,5.132000000000001,1
187,10.91,12.8,0.8372,5.088,2.675,4.178999999999999,4.956,3
84,19.51,16.71,0.878,6.3660000000000005,3.801,2.9619999999999997,6.185,2
14,13.74,14.05,0.8744,5.482,3.114,2.932,4.825,1
59,12.11,13.47,0.8392,5.159,3.032,1.5019999999999998,4.519,1
46,15.36,14.76,0.8861,5.7010000000000005,3.3930000000000002,1.367,5.132000000000001,1
25,16.19,15.16,0.8849,5.832999999999999,3.4210000000000003,0.903,5.307,1
110,18.45,16.12,0.8921,6.107,3.7689999999999997,2.235,5.794,2
27,12.74,13.67,0.8564,5.395,2.9560000000000004,2.504,4.869,1
74,16.82,15.51,0.8786,6.017,3.486,4.004,5.841,2
160,12.54,13.67,0.8425,5.4510000000000005,2.8789999999999996,3.082,5.4910000000000005,3
50,14.43,14.4,0.8751,5.585,3.272,3.975,5.144,1
125,18.75,16.18,0.8999,6.111000000000001,3.8689999999999998,4.188,5.992000000000001,2
205,12.19,13.2,0.8783,5.1370000000000005,2.9810000000000003,3.6310000000000002,4.87,3
2,14.29,14.09,0.905,5.291,3.3369999999999997,2.699,4.825,1
182,12.19,13.36,0.8579,5.24,2.909,4.857,5.1579999999999995,3
38,14.8,14.52,0.8823,5.656000000000001,3.2880000000000003,3.112,5.309,1
143,12.22,13.32,0.8652,5.224,2.967,5.468999999999999,5.221,3
10,15.26,14.85,0.8696,5.7139999999999995,3.242,4.543,5.314,1
164,11.14,12.79,0.8558,5.011,2.7939999999999996,6.388,5.0489999999999995,3
158,11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3
152,12.26,13.6,0.8333,5.4079999999999995,2.833,4.756,5.36,3
100,16.41,15.25,0.8866,5.718,3.525,4.217,5.617999999999999,2
29,13.45,14.02,0.8604,5.516,3.065,3.531,5.0969999999999995,1
86,18.88,16.26,0.8969,6.084,3.764,1.649,6.109,2
39,14.28,14.17,0.8944,5.397,3.298,6.685,5.001,1
95,16.87,15.65,0.8648,6.138999999999999,3.463,3.696,5.9670000000000005,2
101,17.99,15.86,0.8992,5.89,3.694,2.068,5.837000000000001,2
22,15.88,14.9,0.8988,5.617999999999999,3.5069999999999997,0.7651,5.091,1
186,11.81,13.45,0.8198,5.412999999999999,2.716,4.898,5.352,3
179,12.21,13.47,0.8453,5.357,2.8930000000000002,1.661,5.178,3
55,15.03,14.77,0.8658,5.702000000000001,3.2119999999999997,1.933,5.439,1
72,17.26,15.73,0.8763,5.978,3.594,4.539,5.791,2
178,11.48,13.05,0.8473,5.18,2.758,5.876,5.002,3
91,18.76,16.2,0.8984,6.172000000000001,3.7960000000000003,3.12,6.053,2
73,19.11,16.26,0.9081,6.154,3.93,2.9360000000000004,6.079,2
54,14.52,14.6,0.8557,5.7410000000000005,3.113,1.4809999999999999,5.487,1
120,20.24,16.91,0.8897,6.315,3.9619999999999997,5.901,6.188,2
156,11.34,12.87,0.8596,5.053,2.8489999999999998,3.347,5.003,3
142,13.34,13.95,0.862,5.388999999999999,3.074,5.995,5.307,3
117,19.15,16.45,0.889,6.245,3.815,3.0839999999999996,6.185,2
112,19.13,16.31,0.9035,6.183,3.9019999999999997,2.109,5.9239999999999995,2
154,11.36,13.05,0.8382,5.175,2.755,4.048,5.263,3
190,10.93,12.8,0.8390000000000001,5.046,2.717,5.398,5.045,3
174,10.83,12.96,0.8099,5.278,2.641,5.182,5.185,3
87,18.98,16.66,0.8590000000000001,6.5489999999999995,3.67,3.6910000000000003,6.497999999999999,2
165,12.1,13.15,0.8793,5.105,2.9410000000000003,2.201,5.056,3
128,20.16,17.03,0.8735,6.513,3.773,1.91,6.185,2
206,11.23,12.88,0.8511,5.14,2.795,4.325,5.003,3
203,12.7,13.41,0.8874,5.183,3.091,8.456,5.0,3
196,12.79,13.53,0.8786,5.224,3.054,5.483,4.958,3
58,15.38,14.77,0.8857,5.662000000000001,3.4189999999999996,1.999,5.222,1
207,13.2,13.66,0.8883,5.236000000000001,3.2319999999999998,8.315,5.056,3
66,14.34,14.37,0.8726,5.63,3.19,1.3130000000000002,5.15,1
114,20.97,17.25,0.8859,6.563,3.991,4.677,6.316,2
172,11.27,12.97,0.8419,5.088,2.763,4.309,5.0,3
30,13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,1
148,12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3
132,15.38,14.9,0.8706,5.8839999999999995,3.2680000000000002,4.462,5.795,2
16,13.99,13.83,0.9183,5.119,3.383,5.234,4.781000000000001,1
17,15.69,14.75,0.9058,5.527,3.514,1.599,5.046,1
34,15.05,14.68,0.8779,5.712000000000001,3.3280000000000003,2.129,5.36,1
121,18.14,16.12,0.8772,6.059,3.563,3.6189999999999998,6.011,2
76,17.32,15.91,0.8599,6.064,3.403,3.824,5.922000000000001,2
134,15.56,14.89,0.8823,5.776,3.408,4.9719999999999995,5.847,2
96,19.31,16.59,0.8815,6.341,3.81,3.477,6.2379999999999995,2
141,13.32,13.94,0.8613,5.541,3.073,7.035,5.44,3
33,13.94,14.17,0.8728,5.585,3.15,2.124,5.012,1
183,11.65,13.07,0.8575,5.1080000000000005,2.85,5.209,5.135,3
131,18.94,16.32,0.8942,6.144,3.825,2.908,5.949,2
161,12.02,13.33,0.8503,5.35,2.81,4.271,5.308,3
193,10.82,12.83,0.8256,5.18,2.63,4.853,5.0889999999999995,3
